TCGA-19-4065-02A-11R-2005-01,TCGA-19-0957-02A-11R-2005-01,TCGA-06-0152-02A-01R-2005-01,TCGA-14-1402-02A-01R-2005-01,TCGA-14-0736-02A-01R-2005-01,TCGA-06-5410-01A-01R-1849-01,TCGA-19-5960-01A-11R-1850-01,TCGA-14-0781-01B-01R-1849-01,TCGA-02-2483-01A-01R-1849-01,TCGA-06-2570-01A-01R-1849-01
45,0,0,0,1,1,1,0,0,1
1,5,0,2,45,0,1,0,7,0
0,3,0,6,36,1,1,0,2,0
15,15,1,12,6,1,0,0,1,2
17,1,1,8,31,0,3,0,1,5
1,1,39,16,0,2,1,0,0,3
49,5,1,0,3,2,0,5,0,0
38,1,0,0,1,0,0,1,0,0
0,1,0,0,43,1,0,0,2,0
0,0,1,3,43,2,0,1,1,0
18,7,2,1,34,1,1,4,3,1
26,5,3,13,19,7,0,1,2,1
50,1,0,2,0,2,1,1,0,0
6,6,9,9,32,1,3,0,2,3
3,0,1,41,22,0,4,6,1,1
2,1,2,22,36,6,1,3,0,0
1,5,2,26,25,2,4,0,1,0
23,24,0,0,1,0,1,0,1,0
43,0,0,0,0,0,0,1,0,0
3,7,2,2,31,0,0,0,1,1
35,0,1,0,0,0,0,0,0,0
0,0,0,0,48,0,2,0,1,0
1,0,1,3,44,0,0,0,3,0
0,4,2,5,65,1,6,5,4,1
0,0,71,0,1,4,0,3,0,1
51,0,0,0,0,0,2,0,0,0
5,3,3,7,48,2,2,3,1,1
6,45,0,0,1,0,1,0,1,0
0,0,0,0,36,0,0,0,0,0
0,3,0,0,40,0,0,0,1,0
12,7,3,3,46,2,1,6,1,1
0,0,0,0,43,0,0,1,0,0
42,10,4,7,19,1,7,1,3,2
1,48,3,9,0,0,1,0,2,1
50,0,2,0,1,0,0,1,0,1
2,0,3,1,75,17,0,0,1,0
55,2,7,1,0,4,1,0,0,0
66,1,4,9,3,4,1,5,0,2
7,4,4,2,57,3,3,2,1,2
50,0,2,3,0,0,1,1,0,0
42,1,7,0,0,0,1,0,0,0
46,2,2,0,0,0,0,1,0,0
1,2,4,20,55,6,4,2,0,3
42,0,0,0,0,0,0,0,0,0
58,2,0,0,1,0,2,0,0,1
3,0,0,33,13,1,0,0,0,0
40,3,0,0,0,0,0,0,0,0
55,5,11,7,7,2,3,2,0,4
69,6,5,3,8,10,0,0,4,0
0,0,1,3,56,2,1,1,0,0
0,0,0,5,69,8,0,1,1,0
64,0,3,2,1,2,2,0,1,0
22,18,26,9,2,4,0,1,1,1
0,5,0,0,56,1,1,1,0,1
3,4,6,70,12,4,8,0,4,1
1,38,1,1,47,9,1,2,0,2
4,1,4,0,51,0,0,2,0,1
46,0,0,0,0,0,0,0,0,0
0,52,3,1,5,1,1,0,0,0
3,42,2,0,0,0,0,0,0,0
17,3,54,3,10,6,0,2,0,1
10,10,0,51,9,2,2,4,0,0
