row	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Status
ENSG00000188916	52.4004015310668	2.38816565269101	0.637082512924908	3.74859708788223	0.000177826498527241	0.00256467660326241	Upregulated
ENSG00000189221	2383.75370672631	3.34154402446202	0.212405785251704	15.7318880015543	9.14432590231978e-56	3.46227039476583e-52	Upregulated
ENSG00000196136	739.309178654879	3.19630737315219	0.370162215456965	8.63488286940996	5.87872424533723e-18	1.18711038260843e-15	Upregulated
ENSG00000196569	18064.3664300771	2.06365207277711	0.30236183792144	6.82510758289969	8.78594481633612e-12	7.27120952149784e-10	Upregulated
ENSG00000197381	1934.62681776918	2.27319471468174	0.435566413187559	5.21893939903692	1.79950626091395e-07	6.16595527636692e-06	Upregulated
ENSG00000198624	2020.04495478061	2.81410138992209	0.240617017729766	11.6953547860965	1.34623406055377e-31	1.01943574235434e-28	Upregulated
ENSG00000205364	43.7683097649515	2.55606827816822	0.456040759127044	5.60491190099118	2.08360917804875e-08	9.14674231928937e-07	Upregulated
ENSG00000211445	12537.1799334237	3.77018283681169	0.385566267211591	9.77830053463336	1.3953371059931e-22	4.91450708610826e-20	Upregulated
ENSG00000230018	38.9460782711452	2.43020906260434	0.53540121764316	4.53904283838229	5.65101558536534e-06	0.000130663558840241	Upregulated
ENSG00000273259	2004.06797116422	3.36549829706487	0.323425784549165	10.4057822778606	2.33331671742666e-25	1.03935534368902e-22	Upregulated
ENSG00000274944	27.2819964296372	4.32447866657946	0.922872388379283	4.68589018485422	2.7874570174041e-06	6.98941002128892e-05	Upregulated
ENSG00000277196	36.1901302568853	7.24681333436476	1.18427528981099	6.11919660632396	9.40483093050928e-10	5.29502470046703e-08	Upregulated
ENSG00000278817	15.2128268168988	4.08092565545309	0.932467322425709	4.37648114556661	1.20610619103894e-05	0.000252648385384299	Upregulated
ENSG00000002834	8609.18275618938	0.416875055371324	0.108296983616798	3.84936903548867	0.000118422479332937	0.00183011066275238	Downregulated
ENSG00000003096	414.075308683702	-0.964578629321617	0.191741904271291	-5.03060941731787	4.8892326586159e-07	1.49289170594229e-05	Downregulated
ENSG00000003402	3368.72335143759	1.16249955503505	0.126138593252641	9.21604978348457	3.08247089973334e-20	7.91254606380703e-18	Downregulated
ENSG00000004059	1684.3217819095	0.379689771039634	0.11419425366829	3.32494638602877	0.000884355393123934	0.00941039458790499	Downregulated
ENSG00000004487	1255.80031118487	-0.33410552580399	0.0960383685462943	-3.47887548342658	0.00050352248804205	0.00602833840426628	Downregulated
ENSG00000004700	1510.20849871797	0.409553280859458	0.119162326764522	3.43693591741273	0.000588334782701824	0.00677211546917432	Downregulated
ENSG00000006607	957.991889094816	0.595861925335486	0.155053660031775	3.8429400841836	0.000121569155344664	0.00186730715790561	Downregulated
ENSG00000007866	1620.52184915199	0.553934461373927	0.156832395054797	3.53201557102015	0.000412405071025141	0.00512797602682739	Downregulated
ENSG00000008130	1713.6319552007	0.830141261205874	0.151385287768093	5.4836323492516	4.1668027852044e-08	1.65633144834438e-06	Downregulated
ENSG00000008256	3740.92435461127	1.19683521086011	0.20737453118423	5.77137030292716	7.86294669982381e-09	3.76849138508961e-07	Downregulated
ENSG00000008311	714.926322098101	1.13782474997719	0.189240333953753	6.012591112079	1.82581151492532e-09	9.56813681437506e-08	Downregulated
ENSG00000009413	8391.06888900911	0.969287576217042	0.150655684984787	6.43379356255236	1.24457868728998e-10	8.45253103991337e-09	Downregulated
ENSG00000010017	2202.06085895341	0.716872638971713	0.15681011009444	4.57159706437277	4.84020990752743e-06	0.000115259401021231	Downregulated
ENSG00000010256	1811.67409574834	0.471529526902186	0.10435713000006	4.51842175902994	6.2302287354501e-06	0.000141464489053061	Downregulated
ENSG00000011198	1155.15273140287	1.09691083703938	0.20252164694057	5.41626464928597	6.08570043516225e-08	2.31577721332996e-06	Downregulated
ENSG00000011478	148.179692769756	0.741745273537023	0.17647895330052	4.20302398481438	2.63372669492537e-05	0.000508124723498658	Downregulated
ENSG00000011485	1024.18238104288	0.541650988289251	0.136380626573544	3.97161240491267	7.13878026098862e-05	0.00118809700057882	Downregulated
ENSG00000011566	1413.92467212257	0.813291608407457	0.211278658307955	3.84937889572368	0.000118417712729584	0.00183011066275238	Downregulated
ENSG00000012048	241.117643587367	-1.40352608702584	0.158931252556259	-8.83102639947425	1.03719502684013e-18	2.27656792485417e-16	Downregulated
ENSG00000012171	1278.91991958158	-0.695135921922255	0.208980533755451	-3.32631900890684	0.00088001149679985	0.00938575642185474	Downregulated
ENSG00000013293	240.500704995981	-1.50932880738015	0.32813721868765	-4.59968793974833	4.23124306342173e-06	0.000101717739992892	Downregulated
ENSG00000013297	3473.51661188046	-1.6495728572637	0.27317763141604	-6.03846240525991	1.55589666511434e-09	8.29720246237909e-08	Downregulated
ENSG00000014216	3510.33518456401	0.296908222118211	0.0767511528558269	3.86845292963791	0.000109528073999536	0.00171896650852122	Downregulated
ENSG00000017797	3378.61384040889	0.546050729837516	0.106559344158927	5.12438148101882	2.98516049823103e-07	9.63971337861598e-06	Downregulated
