cell,tSNE_1,tSNE_2,cluster
A10.B002436.3_39_F.1.1,7.3356953516345,34.9490860799949,10
A10.B002438.3_38_F.1.1,7.96982699778935,25.2414809946766,14
A10.B002762.3_39_F.1.1,20.9167732882425,-29.0902748046312,13
A10.B002765.3_38_F.1.1,19.7432395200728,-32.4218382487052,13
A10.B002769.3_39_F.1.1,23.8943965346733,-28.5200348918136,13
A10.B002775.3_39_F.1.1,-33.5520393509117,-7.5330936173481,3
A10.B002777.3_39_F.1.1,-15.4626489588103,36.4562808368631,7
A10.B002954.3_56_F.1.1,-4.91238018853078,-3.17348480043216,19
A10.B003281.3_39_F.1.1,26.1435445862571,-3.43852414662169,0
A10.B003291.3_39_F.1.1,6.00301735315635,19.053026762139,2
A10.B003292.3_39_F.1.1,24.6287405979289,-5.91799333419059,0
A10.D041894.3_9_M.1.1,-20.0631461805072,30.8982993651326,7
A10.D041904.3_10_M.1.1,-14.7477886215211,39.3191451726138,7
A10.D041911.3_8_M.1.1,-26.0499506891149,32.7672765750523,7
A10.D042105.3_11_M.1.1,19.0809668964023,-31.1768425488701,13
A10.D042186.3_8_M.1.1,23.088799577188,-29.5825250313077,13
A10.D042193.3_8_M.1.1,10.2529706799853,20.5931817965427,2
A10.D042474.3_8_M.1.1,-11.1837501546266,-18.8623111892854,1
A10.D042475.3_9_M.1.1,-36.0336375452816,-2.57359802762586,3
A10.D043526.3_39_F.1.1,15.3357103670737,35.27559563942,15
A10.D045067.3_38_F.1.1,-6.25996399646097,0.996688787391498,19
A10.MAA000427.3_11_M.1.1,18.0335029153582,-11.5750643730291,6
A10.MAA000435.3_10_M.1.1,19.4128271711841,-19.0679628039324,6
A10.MAA000439.3_10_M.1.1,-3.07687388140197,-3.52680451059646,19
A10.MAA000496.3_10_M.1.1,-11.8662839969585,-18.8813824492245,1
A10.MAA000508.3_9_M.1.1,-2.45279647463579,-34.3229721721976,5
A10.MAA000526.3_9_M.1.1,-1.48350538047856,-17.3384535157272,4
