Sample name	Sex	Biosample ID	Population code	Population name	Superpopulation code	Superpopulation name	Population elastic ID	Data collections
HG03704	female	SAME1840040	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes 30x on GRCh38
HG03709	female	SAME1839780	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG03641	male	SAME1839626	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes 30x on GRCh38
HG03653	female	SAME1839508	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG03660	male	SAME1839218	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG03761	male	SAME1839114	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38
HG03487	male	SAME1839480	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38
HG03634	female	SAME1839575	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG03639	male	SAME1839603	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38
HG03766	male	SAME1839136	PJL	Punjabi	SAS	South Asian Ancestry	PJL	
HG02786	male	SAME1840292	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02793	female	SAME1840415	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02654	male	SAME1839530	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02659	female	SAME1839590	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02661	female	SAME1839667	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02685	female	SAME1839286	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02692	female	SAME1839078	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes 30x on GRCh38
HG02697	female	SAME1839142	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02700	female	SAME1840159	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02724	male	SAME1839740	PJL	Punjabi,Punjabi	SAS	South Asia (SGDP),South Asian Ancestry	PunjabiSGDP,PJL	1000 Genomes on GRCh38,Simons Genome Diversity Project,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02729	male	SAME1839715	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02731	female	SAME1839886	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02604	female	SAME1840282	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02736	male	SAME1839860	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02774	male	SAME1839028	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02779	male	SAME1839097	PJL	Punjabi	SAS	South Asian Ancestry	PJL	
HG02781	female	SAME1839167	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38
HG02490	male	SAME1839625	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02495	female	SAME1839694	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes 30x on GRCh38
HG03234	male	SAME1839357	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG03239	female	SAME1839295	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG03018	male	SAME1840053	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG03619	female	SAME1840064	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG03621	male	SAME1839794	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38
HG03626	female	SAME1839723	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes 30x on GRCh38
HG03633	male	SAME1839571	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG03638	female	SAME1839592	PJL	Punjabi	SAS	South Asian Ancestry	PJL	
HG03640	female	SAME1839621	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG03652	male	SAME1839505	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG03657	male	SAME1839439	PJL	Punjabi	SAS	South Asian Ancestry	PJL	
HG03669	female	SAME1839345	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes 30x on GRCh38
HG03703	female	SAME1840032	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG03708	male	SAME1839773	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG03710	male	SAME1839891	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes 30x on GRCh38
HG03765	female	SAME1839131	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
